recno,Astrom,PNG,OName,GaiaEDR3,Group,RA_ICRS,DE_ICRS,Dang,Gmag,BP-RP,AV,(BP-RP)0,_RA_icrs,_DE_icrs
963," ","PN G160.5-00.5 ",We1-2,204885577998383872,A,71.6793,44.4671,0.19,20.75,0.21,2.11,-0.91,71.6793,44.4671
964," ","PN G161.2-14.8 ",IC2003,218544737933650944,A,59.0916,33.8752,0.19,16.07,-0.16,0.39,-0.37,59.0916,33.8752
965," ","PN G161.9-44.0 ",Fr2-2,24913597751278976,B,40.1973,10.3507,0.05,9.15,0.07,0.35,-0.12,40.1973,10.3507
966,*,"PN G162.1+47.9 ",WPS54,1020641700210987520,A,147.8583,53.1585,0.43,15.25,-0.55,0.0,-0.55,147.8583,53.1585
967," ","PN G162.9-01.6 ",Weinberger92,203426487411436160,B,72.5737,41.9147,12.61,19.74,0.26,0.59,-0.05,72.5737,41.9147
968," ","PN G163.1-00.8 ",We1-3,204926805386682752,B,73.6292,42.278,0.18,20.95,0.67,1.56,-0.16,73.6292,42.278
969,*,"PN G164.8+31.1 ",JnEr1,936605992140011392,A,119.4651,53.4214,0.11,17.06,-0.55,0.12,-0.62,119.4651,53.4214
970,*,"PN G164.8-09.8 ",Kn51,176269718435866112,B,66.3619,35.1022,0.15,18.21,1.75,1.01,1.32,66.3619,35.1022
971," ","PN G165.4-05.2 ",Kn37,175340665471792000,B,71.1573,37.6542,0.01,19.04,0.72,1.61,-0.13,71.1573,37.6542
972," ","PN G165.5-06.5 ",K3-67,175182924208301824,B,69.9497,36.7619,0.21,17.41,0.5,1.86,-0.5,69.9497,36.7619
973,*,"PN G165.5-15.2 ",NGC1514,168937010969340160,B,62.3207,30.776,0.06,9.28,0.81,1.4,0.08,62.3207,30.776
974," ","PN G165.5-27.6 ",Kn67,58511404626001152,B,53.0623,21.6619,0.7,20.29,-0.01,0.44,-0.25,53.0623,21.6619
975,*,"PN G166.1+10.4 ",IC2149,196996680850087936,A,89.0995,46.1047,0.14,11.26,-0.02,0.39,-0.23,89.0995,46.1047
976," ","PN G167.0-00.9 ",Abell8,188439147494309632,A,76.6601,39.1357,0.08,20.11,0.55,1.73,-0.38,76.6601,39.1357
977," ","PN G167.4-09.1 ",K3-66,172188296914590208,B,69.1552,33.6584,0.21,15.3,0.9,1.36,0.21,69.1552,33.6584
978," ","PN G167.9+00.9 ",IPHASXJ051733.3+393027,188636307971127168,B,79.3914,39.5067,7.84,21.27,0.95,2.04,-0.1,79.3914,39.5067
979,*,"PN G168.4+01.6 ",CoMaC2,187946497564416384,B,80.4876,39.5174,0.02,15.17,0.95,1.39,0.25,80.4876,39.5174
980," ","PN G169.4+03.8 ",Dr32,191146557438088064,A,83.5279,39.9342,0.01,19.23,0.08,0.67,-0.28,83.5279,39.9342
981,*,"PN G170.3+15.8 ",NGC2242,965066369588651648,A,98.5306,44.7772,0.34,16.8,-0.29,0.25,-0.43,98.5306,44.7772
982,*,"PN G171.3-25.8 ",Ba1,50865027106484096,A,58.4017,19.494,0.67,17.96,0.21,0.76,-0.21,58.4017,19.494
983," ","PN G173.5+03.2 ",Pu2,3455834079110379648,A,85.6423,36.152,0.06,19.51,1.13,2.74,-0.29,85.6423,36.152
984," ","PN G173.7-05.8 ",K2-1,156455900431326976,A,76.7846,30.8218,0.15,18.09,0.04,0.76,-0.38,76.7846,30.8218
985," ","PN G173.7-09.2 "," ",155075188702503424,B,73.6403,28.8247,0.21,18.93,0.89,1.24,0.26,73.6403,28.8247
986," ","PN G174.2-14.6 ",H3-29,147952487953283712,B,69.3476,25.0441,0.19,18.22,0.7,1.47,-0.07,69.3476,25.0441
987," ","PN G174.5-03.0 ",IPHASJ052015.87+314938.8,180731845860251264,B,80.0661,31.8274,0.13,19.21,1.28,0.91,0.86,80.0661,31.8274
988," ","PN G174.6-05.2 ",IPHASXJ051152.2+302751,156214321404677376,B,77.9676,30.4642,0.11,17.29,0.99,1.06,0.47,77.9676,30.4642
989," ","PN G175.6+11.4 ",Kn62,955255358615209856,A,95.9809,38.254,0.03,18.55,-0.16,0.3,-0.33,95.9809,38.254
990,*,"PN G176.7-33.8 ",Alves3,36321786805002880,A,55.8099,10.4939,0.62,16.52,-0.4,0.21,-0.52,55.8099,10.4939
991," ","PN G177.0+00.5 ",Te2,3447765931507028864,A,85.1865,31.742,0.08,20.94,0.05,2.76,-1.3,85.1865,31.742
992," ","PN G177.5+03.1 ",IPHASXJ055226.2+323724,3451205783698632704,A,88.1091,32.6236,0.07,19.15,-0.26,0.51,-0.54,88.1091,32.6236
993," ","PN G178.3-02.5 ",K3-68,3445837383814681472,A,82.8994,28.9781,0.29,19.35,0.41,1.33,-0.31,82.8994,28.9781
994," ","PN G181.5+00.9 ",Pu1,3431140972097482368,A,88.2019,28.0998,0.09,20.82,0.59,1.71,-0.32,88.2019,28.0998
995," ","PN G181.7+01.9 ",IPHASXJ055711.7+282322,3431489482924959232,B,89.3042,28.3882,17.77,20.75,1.41,1.49,0.72,89.3042,28.3882
996," ","PN G182.3-03.7 ",IPHASXJ053650.8+245616,3440771285206498688,B,84.2136,24.9397,8.38,20.95,2.19,2.28,1.23,84.2136,24.9397
997,*,"PN G183.0+00.0 ",IPHASXJ055242.8+262116,3430688759283627776,B,88.1784,26.3545,0.09,17.12,1.59,3.02,0.1,88.1784,26.3545
998," ","PN G184.0-02.1 ",M1-5,3428522004121565568,B,86.7084,24.3675,0.19,15.9,1.13,1.83,0.21,86.7084,24.3675
999," ","PN G184.6+00.6 ",K3-70,3429576298334956800,A,89.689,25.3122,0.09,20.85,0.98,2.59,-0.38,89.689,25.3122
1000,*,"PN G185.1-00.9 ",StDr1,3427888681126503296,B,88.4634,24.0451,15.99,16.26,1.03,0.92,0.59,88.4634,24.0451
