idPNMain,PNG,Name,PNstat,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,Glon,Glat,Catalogue,PAdiam,EPA,mainClass,subClass,objID,RAJ2000_x,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
2442,026.8-01.0,MPA J1843-0556,T,18:43:57.9,-05:56:20.29,280.99114,-5.93897,26.7958,-1.0497,2008MNRAS.384..525M,,,E,,100872809909833297,280.99103852,-5.93916211,0.238,0.192,0.0,310697984,37,56044.29652778,0,9,,,,,0,18.1424,0.0082,16.6184,0.017,16777496,,,,,0,,,,,0,,,,,0,0.781243
2443,026.8-00.1,MPA J1840-0529,T,18:40:49.3,-05:29:44.34,280.20542,-5.49565,26.8326,-0.1517,2008MNRAS.384..525M,,,S,,101402802053905473,280.20532301,-5.49582791,0.026,0.016,90.0,444915712,53,56115.54649306,4,49,,,,,16416,21.2957,0.3095,20.2395,0.1495,16892216,20.6463,0.0703,20.4886,0.1124,16892216,18.9307,0.026,18.4132,0.0407,16892216,17.6996,0.0249,16.8535,0.0373,16892216,0.728702
2444,026.8-00.5,PHR J1842-0539,T,18:42:18.2,-05:39:05.90,280.57596,-5.65164,26.86264,-0.55099,2006MNRAS.373...79P,,,I,a;s,101212805761218387,280.57612516,-5.65167043,0.009,0.007,0.0,436527104,52,55995.89965278,3,24,,,,,16416,19.9056,0.0097,,,115000,18.9149,0.0181,19.3857,0.0219,115000,18.2461,0.0133,18.5809,0.0138,115000,18.0446,0.0345,18.2724,0.1156,16793912,0.601741
2447,027.0+01.3,MPA J1835-0440,T,18:35:53.8,-04:40:08.40,278.97434,-4.669,27.0047,1.3171,2008MNRAS.384..525M,,,S,,102392789743247523,278.97431619,-4.66911575,0.009,0.009,90.0,512024576,61,55991.52074074,5,58,20.1,0.0305,19.8645,0.0511,16892216,18.4916,0.0312,17.9434,0.01,16892216,18.5614,0.0328,17.7755,0.0033,16892216,17.3219,0.0829,16.6402,0.014,16892216,15.843,0.0474,15.3583,0.015,16892216,0.425367
2449,027.4-00.9,PHR J1844-0517,T,18:44:54.5,-05:17:31.60,281.22721,-5.29211,27.47868,-0.96342,2006MNRAS.373...79P,,,B,a;s;,101642812270039832,281.22690792,-5.29211763,0.064,0.029,90.0,438624256,52,56229.70412037,1,17,,,,,16416,,,,,16416,21.2171,0.175,,,16696,20.091,0.0458,19.9453,0.1227,16696,19.382,0.3032,,,115000,1.083201
2450,027.5+01.0,PHR J1838-0417,L,18:38:02.1,-04:17:24.11,279.50892,-4.29003,27.58616,1.01761,2006MNRAS.373...79P,,,E,m,102852795089402340,279.50901728,-4.29022222,0.001,0.001,90.0,444751872,53,55260.01895833,10,5,20.7389,0.06,20.8011,0.0743,114992,19.9334,0.0541,,,16896048,18.6178,0.0,18.2864,0.0,16892216,,,,,114720,,,,,114720,0.775121
2451,027.6-00.8,PHR J1844-0503,T,18:44:45.6,-05:03:54.61,281.18992,-5.06517,27.66367,-0.82678,2006MNRAS.373...79P,,40.0,B,m;p;,101922811898742213,281.1898557,-5.0651874,0.01,0.007,0.0,444915712,53,56027.81898148,5,65,18.0543,0.0095,17.8731,0.0143,16892216,16.7001,0.0424,16.271,0.1199,16892216,17.9717,0.0082,17.8409,0.0264,16892216,17.2844,0.0501,16.9386,0.0134,16892216,15.6545,0.009,15.502,0.0237,16892216,0.238933
2453,027.7+05.1,PHR J1823-0214,L,18:23:47.5,-02:14:31.31,275.94808,-2.24203,27.76807,5.11619,2006MNRAS.373...79P,,,B,a;p;s;,105312759482920198,275.94828976,-2.24186298,0.056,0.056,90.0,436363264,52,56247.99231481,4,7,,,,,16416,22.0612,0.1454,21.3568,0.1855,16892216,21.425,0.0062,21.1065,0.2373,115000,21.0988,0.1816,,,115000,,,,,114720,0.964824
2454,027.7-00.6,PHR J1844-0452,T,18:44:16.4,-04:52:53.51,281.06842,-4.88153,27.77178,-0.63523,2006MNRAS.373...79P,,,R,a;r,102142810681773074,281.06806787,-4.88116789,0.015,0.01,0.0,512024576,61,56035.05017361,5,51,20.4661,0.055,20.1497,0.0991,16892216,18.4371,0.0034,18.0532,0.0462,16892216,17.2213,0.0069,17.0783,0.0236,16892216,16.4525,0.0023,16.2874,0.0157,16892216,15.9677,0.0033,15.891,0.025,16892216,1.815133
2455,027.8-00.7,MPA J1844-0454,T,18:44:49.6,-04:53:59.68,281.20681,-4.89991,27.8184,-0.7663,2008MNRAS.384..525M,,,S,,102122812068260393,281.20682322,-4.90000344,0.012,0.005,0.0,444915712,53,56026.64409722,2,32,,,,,16416,18.0262,0.0071,17.9839,0.0069,16892216,19.6268,0.0735,19.5578,0.0407,16696,18.626,0.0098,18.6365,0.0052,16793912,17.0861,0.0136,17.0245,0.0324,115000,0.33971
2456,027.8+02.7,PHR J1832-0317,T,18:32:31.2,-03:17:44.70,278.12992,-3.29575,27.83742,2.69654,2006MNRAS.373...79P,,50.0,R,a;p;s;,104042781302655155,278.13028346,-3.29609275,0.025,0.014,90.0,436527104,52,56030.28666667,5,34,,,,,114720,20.1745,0.0184,20.3216,0.0256,115000,18.9164,0.0195,19.0644,0.0205,115000,18.0032,0.0456,18.142,0.0416,115000,17.4741,0.0083,17.6115,0.0304,115000,1.796916
2457,027.8+02.3,MPA J1833-0325,L,18:33:38.3,-03:25:55.85,278.40968,-3.43218,27.8447,2.3858,2008MNRAS.384..525M,,,R,,103882784096471806,278.40966088,-3.43219996,0.02,0.015,90.0,503635968,60,55901.88599537,10,62,19.36,0.0115,19.374,0.0152,115000,17.8373,0.0076,17.7394,0.0113,16892216,16.9075,0.0054,16.9238,0.0076,115000,16.3539,0.0099,16.3284,0.0111,115000,15.8518,0.0156,15.851,0.016,115000,0.099419
2458,027.8+00.5,MPA J1840-0415,T,18:40:25.3,-04:15:33.66,280.1055,-4.25935,27.8861,0.5029,2008MNRAS.384..525M,,,E,,102882801056038988,280.10557009,-4.25949936,0.038,0.02,0.0,444915712,53,56045.62958333,4,40,,,,,16416,19.7867,0.1036,18.8894,0.016,16892216,21.5361,0.1159,20.9552,0.1014,115000,19.6002,0.1175,19.1998,0.0422,16892216,18.0311,0.1591,17.0473,0.0809,16892216,0.593661
