recno,uid,R,GCVS,RAJ2000,DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,Epoch,GLON,GLAT,VarType,Per,OutDate,Cl,l_Maxmag,Maxmag,n_Maxmag,l_Minmag,Minmag,u_Minmag,n_Minmag,ref(Coo),f_ref(Coo),ref(pm),ref(CV),f_ref(CV),ref(CV)2,f_ref(CV)2,ref(Cha),u_ref(Cha),n_ref(Cha),ref(Sp),n_ref(Sp),u_ref(Sp),f_ref(Sp),ref(Per),f_ref(Per),Names,IUE,HST,ARIEL5,HEAO1,HEAO2,EXOSAT,ROSAT,GINGA,ASCA,EUVE,objID,RAJ2000_x,DEJ2000_x,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch_x,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
380,8062,,Aur,112.29449999999999,36.97727777777777,-0.0171,0.0039,-3.0E-4,0.0039,2000.262,182,23,NL,0.104,,,,20.4,s,,,,,2006-22,,2006-22,2002-05,,,,A9999-99,,,2002-05,S,,,2005-20,,SDSSp J072910+365838,,,,,,,,,,,152371122946263431,112.29454418,36.97729369,0.018,0.016,90.0,436527232,52,56465.68128472,5,71,20.9029,0.0295,20.7217,0.118,115000,20.8607,0.0846,20.9863,0.0845,115000,20.4912,0.0384,20.5185,0.0518,115000,20.3543,0.0368,20.264,0.1353,115000,19.7366,0.0611,19.8282,0.0907,115000,0.139375
378,6898,,V496 Aur,111.96749999999999,40.782083333333325,,,,,,178,24,CV/UG:,,,,,15.7,R,<,21.0,,R,1997-24,,,1997-24,,,,1998-20,,,1998-20,X,,,,,BAO 03,,,,,,,,,,,156931119679408829,111.96790473,40.78167717,0.018,0.004,90.0,436527296,52,56536.55453704,10,56,21.5767,0.0574,21.6039,0.0845,115000,21.3235,0.0601,21.3666,0.0823,115000,20.1084,0.1621,20.2458,0.1335,115000,20.9373,0.0467,21.1566,0.0724,115000,16.2832,0.0016,16.3873,0.0022,115000,1.831716
379,6892,*,HM Aur,112.27816666666665,40.68252777777777,,,,,,,,non-CV,,,,,,,,,,,,,,2000-35,*,,,,,,,,,,,,BV 23,,,,,,,,,,,156811122782029665,112.27821767,40.68245834,0.138,0.138,90.0,1409441792,168,54417.18436343,5,13,10.873,,,,114788,8.786,,,,114788,7.001,,,,114788,5.946,,,,114788,5.389,,,,114788,0.286139
424,8287,*,Lyn,122.28499999999998,38.23508333333333,0.001,0.0039,0.00266,0.00389,2001.142,183,31,NL,0.133,,,,15.6,s,,,,,2006-22,,2006-22,2003-22,,,,A9999-99,,,2003-22,S,,,2005-42,,SDSS J080908+381406,,H,,,,,,,,,153881222849652679,122.28496938,38.23506642,0.003,0.001,0.0,503636096,60,56316.97334491,5,92,15.1776,0.0195,15.2291,0.0202,115000,15.2714,0.0184,15.3427,0.0267,115000,15.4758,0.012,15.5286,0.0137,115000,15.6182,0.031,15.674,0.0297,115000,15.7024,0.0363,15.7866,0.0323,115000,0.10585
450,8594,*,Lyn,129.46249999999998,38.503472222222214,-0.00905,0.0039,-0.00793,0.00389,2001.888,184,37,AM,0.1325,,,,19.1,s,,,,,2006-22,,2006-22,2005-32,,,,A9999-99,,,2005-32,S,,*,2005-63,,SDSS J083751+383012,,,,,,,,,,,154201294622945076,129.46249785,38.50346612,0.003,0.002,90.0,436527104,52,56351.10878472,10,71,19.3056,0.0112,19.3768,0.0251,115000,19.2778,0.0528,19.5015,0.0417,115000,18.6257,0.0091,18.7297,0.0126,115000,18.0511,0.0137,18.1694,0.0227,115000,17.6957,0.0055,17.5505,0.0724,115000,0.022788
401,8285,,Lyn,118.16854166666666,36.47311111111111,,,,,,184,27,CV/AM:,0.114,,,,17.7,s,,,,,2003-22,,,2003-22,,,,A9999-99,,,2003-22,S,,,2005-20,,SDSS J075240+362823,,,,,,,,,,,151761181685288353,118.16852649,36.47311193,0.058,0.013,0.0,436527232,52,56211.41741898,5,45,18.7142,0.062,18.8507,0.0456,115000,18.1153,0.1364,18.075,0.1701,115000,18.3097,0.096,18.439,0.087,115000,18.0608,0.0689,18.1667,0.0831,115000,18.2269,0.0649,18.3363,0.075,115000,0.044034
414,8286,,Lyn,120.56391666666666,40.17972222222222,-0.0064,0.01372,-0.00543,0.01428,1956.555,180,30,NL,,,,,16.7,s,,,,,2002-137,,2002-137,2003-22,,,,A9999-99,,,2003-22,S,,,,,SDSS J080215+401047,,,,,,,,,,,156211205641556336,120.56413773,40.17973985,0.005,0.004,90.0,503636096,60,56263.58480324,5,88,16.7499,0.0095,16.838,0.0098,115000,16.7203,0.0038,16.7579,0.0037,115000,16.7436,0.0073,16.8191,0.0107,115000,16.715,0.0257,16.7201,0.027,115000,16.7827,0.0063,16.8475,0.0215,115000,0.611335
395,8063,*,Lyn,116.81999999999998,42.81361111111111,0.00301,0.0039,-2.7E-4,0.00389,2000.262,177,28,NL,,,,,17.1,s,,,,,2006-22,,2006-22,2002-05,,,,A9999-99,,,2002-05,S,,,,,SDSSp J074716+424849,,H,,,,,,,,,159371168200126994,116.8199976,42.8136208,0.003,0.003,0.0,503636192,60,56300.17075231,10,72,17.2763,0.0254,17.2926,0.0291,115000,17.1016,0.064,17.1858,0.0424,115000,17.1621,0.0288,17.2447,0.0171,115000,17.337,0.0217,17.3222,0.019,115000,17.4371,0.0313,17.4569,0.0194,115000,0.035451
392,8684,,Lyn,116.38299999999998,45.64155555555555,-0.02,0.00302,-0.04,0.00302,2003.811,173,28,CV,,,,,19.1,g,,,,,2006-05,,2006-22,2006-05,,,,A9999-99,,,2006-05,S,,,,,SDSS J074531+453829,,,,,,,,,,,162771163830340402,116.38295971,45.64145786,0.006,0.004,90.0,436527104,52,56446.31840278,10,76,19.0558,0.0135,19.1408,0.0179,115000,18.9988,0.027,18.9579,0.0267,115000,19.1183,0.0126,19.1556,0.0254,115000,19.0555,0.0619,19.1218,0.083,115000,19.002,0.0343,19.113,0.1301,115000,0.366031
431,8064,,Lyn,123.34133333333331,45.46927777777777,0.00696,0.0039,-0.0037,0.00389,2000.26,174,33,CV,0.289,,,,18.3,s,,,,,2006-22,,2006-22,2002-05,,,,A9999-99,,,2002-05,S,,,2004-01,,SDSSp J081321+452809,,,,,,,,,,,162561233413163771,123.34133229,45.46923108,0.022,0.008,0.0,503636096,60,56248.27045139,5,89,18.5026,0.0246,18.6162,0.0181,115000,17.7769,0.0161,17.8921,0.0208,115000,17.2472,0.0129,17.3292,0.0187,115000,17.1974,0.0109,17.2593,0.0118,115000,16.9931,0.0155,17.1064,0.0293,115000,0.168133
