# recno   PNG           Name              f_PNG   RAJ2000              DEJ2000                SpType1              r_SpType1   SpType2         r_SpType2   BR        rspect                     Com                                                                                                                                  SimbadName       recno   PNG           l_logg   logg   E_logg   e_logg   r_logg    TpTeff    l_logTeff   logTeff   E_logTeff   e_logTeff   r_logTeff   l_logL   logL    E_logL   e_logL   r_logL    Band   l_mag   mag     E_mag   e_mag   r_mag     Note      
  336     "221.5+46.3 " "EGB 6"           " "     148.2458333333333    13.743027777777776     "DAOZ + ?"           "BC2016 "   " "             "       "   "LB2013 " BC2016                     " "                                                                                                                                  "PN G221.5+46.3" 336     "221.5+46.3 " " "      7.0    ""       ""       "GP1988 " eff       " "         5.041     ""          ""          GM2019b     " "      2.46    ""       ""       GM2019b   "v "   " "     16.09   ""      ""      "TA1991 " " "       
  322     "211.9+22.6 " "EGB 5"           " "     122.80333333333331   10.954749999999999     "hgO(H) + ?"         "SECGPN "   " "             "       "   "KV2015 " MK1988                     " "                                                                                                                                  "PN G211.9+22.6" 322     "211.9+22.6 " " "      5.8    ""       ""       "N1999  " eff       " "         4.623     ""          ""          "N1999  "   " "      1.37    ""       ""       "LH2005 " "v "   " "     14.08   ""      ""      "TA1991 " " "       
  319     "208.5+33.2 " "A 30"            " "     131.72291666666663   17.879305555555554     "[WC]-PG 1159 + ?"   "GT2000 "   " "             "       "   "CB1999 " -                          " "                                                                                                                                  "PN G208.5+33.2" 319     "208.5+33.2 " " "      ""     ""       ""       "       " eff       " "         5.061     ""          ""          "Gd2013 "   " "      2.254   0.24     0.24     SB2019b   "v "   " "     14.38   ""      ""      "GT2000 " " "       
  307     "191.4+33.1 " "Ton 320"         " "     126.77291666666665   31.502388888888884     DAO                  "N1999  "   " "             "       "   "       " GB2010                     "Another designation is PN G191.4+33.0"                                                                                              "PN G191.4+33.1" 307     "191.4+33.1 " " "      7.76   ""       ""       "GB2010 " eff       " "         4.86      ""          ""          "GB2010 "   " "      1.8     ""       ""       "Fd2008 " "v "   " "     15.7    ""      ""      "HD2007 " " "       
  281     "144.8+65.8 " "BE Uma"          " "     179.43666666666664   48.93852777777777      "sdO + ?"            "FL1999 "   " "             "       "   "FM1981 " "LT1995,  FL1987,  SB2008" " "                                                                                                                                  "PN G144.8+65.8" 281     "144.8+65.8 " " "      6.5    ""       ""       "N1999  " eff       " "         5.021     ""          ""          "N1999  "   " "      2.55    ""       ""       GM2019b   "v "   " "     16.15   ""      ""      "LT1995 " " "       
  285     "148.4+57.0 " "NGC 3587"        " "     168.69875            55.01902777777777      DAO                  "WR2019 "   " "             "       "   "       " NS1995                     " "                                                                                                                                  "PN G148.4+57.0" 285     "148.4+57.0 " " "      6.9    ""       ""       "Gd2013 " eff       " "         4.973     ""          ""          "Gd2013 "   " "      2.01    ""       ""       GM2019b   "v "   " "     16.5    0.3     0.3     "NS1995 " " "       
  275     "135.9+55.9 " "TS 01"           " "     178.35291666666663   59.66580555555555      "sdO + ?"            "t.w.   "   " "             "       "   "NT2005 " "TN2004, TY2010"           " "                                                                                                                                  "PN G135.9+55.9" 275     "135.9+55.9 " " "      ""     ""       ""       "       " eff       " "         4.76      ""          ""          "PL2016 "   " "      3.14    ""       ""       "PL2016 " "  "   " "     ""      ""      ""      "       " " "       
  312     "197.8+17.3 " "NGC 2392"        " "     112.29499999999999   20.911805555555553     "O(H)6f + ?"         "SECGPN "   " "             "       "   "MM2019 " MK1988,HB2011              " "                                                                                                                                  "PN G197.8+17.3" 312     "197.8+17.3 " " "      4.0    0.2      0.2      "HB2011 " *         " "         4.68      ""          ""          "HB2011 "   " "      4.11    ""       ""       GM2019b   "v "   " "     10.63   ""      ""      GM2019b   " "       
  304     "189.1+19.8 " "NGC 2371-72"     " "     111.39458333333332   29.490666666666662     "[WO 1]"             "AN2003 "   "[WC]-PG 1159"  "Gd2013 "   "       " KS1993                     " "                                                                                                                                  "PN G189.1+19.8" 304     "189.1+19.8 " " "      6.3    ""       ""       "Gd2013 " eff       " "         5.13      ""          ""          "Gd2013 "   " "      3.317   0.251    0.251    SB2019b   "v "   " "     14.85   ""      ""      "GT2000 " " "       
  295     "164.8+31.1 " "JnEr 1"          " "     119.46499999999999   53.421388888888885     "PG 1159 (E:)"       "WH2006 "   " "             "       "   "       " LF1988                     " "                                                                                                                                  "PN G164.8+31.1" 295     "164.8+31.1 " " "      7.0    ""       ""       "FP2016 " eff       " "         5.01      0.01        0.01        "SV2002 "   " "      1.84    ""       ""       GM2019b   "v "   " "     17.16   ""      ""      "BC2012 " " "       
  301     "170.3+15.8 " "NGC 2242"        " "     98.53083333333332    44.777249999999995     O(H)                 "PT1992 "   " "             "       "   "       " PT1992                     " "                                                                                                                                  "PN G170.3+15.8" 301     "170.3+15.8 " " "      5.62   ""       ""       "M1997  " eff       " "         5.025     0.033       0.033       "SV2002 "   " "      2.778   0.1      0.1      "SV2002 " "v "   " "     17.6    ""      ""      "SECGPN " " "       
  292     "158.9+17.8 " "PuWe 1"          " "     94.89291666666665    55.611749999999994     DAO                  "NS1995 "   " "             "       "   "       " GB2010                     " "                                                                                                                                  "PN G158.9+17.8" 292     "158.9+17.8 " " "      7.1    ""       ""       "Gd2013 " eff       " "         4.973     ""          ""          "Gd2013 "   " "      1.7     ""       ""       PR2013b   "v "   " "     15.53   ""      ""      "HD2007 " " "       
  291     "158.8+37.1 " "A 28"            " "     130.3983333333333    58.2301111111111       DAH:                 "KK2013 "   O(H)            "dP2013 "   "       " YL2013                     " "                                                                                                                                  "PN G158.8+37.1" 291     "158.8+37.1 " " "      7.58   0.051    0.051    "KK2013 " eff       " "         4.795     0.008       0.008       "KK2013 "   " "      0.493   0.23     0.23     SB2019b   "v "   " "     16.56   ""      ""      "dP2013 " " "       
  279     "143.6+23.8 " "EGB 4"           *       97.39166666666665    71.07674999999999      "H-rich + ?"         "NS1995 "   " "             "       "   "NS1995 " NS1995                     "Nebula around CV"                                                                                                                   "PN G143.6+23.8" 279     "143.6+23.8 " " "      ""     ""       ""       "       " eff       " "         4.616     0.023       0.023       "SV2002 "   " "      2.278   0.031    0.031    "SV2002 " "v "   " "     12.5    0.4     0.4     "NS1995 " " "       
  42      "003.3+66.1 " "SkAc 1"          " "     214.09124999999997   13.873388888888886     DAO                  "t.w.   "   " "             "       "   "       " KP2016                     " "                                                                                                                                  "PN G003.3+66.1" 42      "003.3+66.1 " " "      6.11   ""       ""       "KP2016 " " "       " "         5.079     ""          ""          "KP2016 "   " "      ""      ""       ""       "       " "r "   " "     18.66   ""      ""      "KP2016 " " "       
  162     "043.1+37.7 " "NGC 6210"        " "     251.12291666666664   23.799916666666665     O(H)3                "t.w.   "   EL              "MV1997 "   "       " MV1997                     "MV1997 report emission at H_alpha"                                                                                                  "PN G043.1+37.7" 162     "043.1+37.7 " " "      4.8    0.2      0.2      "HB2011 " *         " "         4.946     ""          ""          "HB2011 "   " "      3.87    ""       ""       "HB2011 " "v "   " "     12.7    ""      ""      "dB2004 " " "       
  170     "047.0+42.4 " "A 39"            " "     246.89041666666662   27.90930555555555      DAO                  "ZR2012 "   sdO             "HA1987 "   "       " NS1995                     " "                                                                                                                                  "PN G047.0+42.4" 170     "047.0+42.4 " " "      6.3    ""       ""       "Gd2013 " eff       " "         5.068     ""          ""          "Gd2013 "   " "      2.47    ""       ""       GM2019b   "v "   " "     15.6    0.2     0.2     "NS1995 " " "       
  204     "061.9+41.3 " "DDDM 1"          " "     250.0758333333333    38.70555555555555      O(H)                 "PT1992 "   " "             "       "   "       " "HK2008,  PT1992"          " "                                                                                                                                  "PN G061.9+41.3" 204     "061.9+41.3 " " "      3.4    ""       ""       "N1999  " eff       " "         4.568     ""          ""          "N1999  "   " "      3.5     ""       ""       "PL2016 " "v "   " "     15.3    ""      ""      "TA1991 " " "       
  181     "052.7+50.7 " "Nap 1"           " "     237.9995833333333    32.94841666666666      "O(H)7 + ?"          "NH1994 "   " "             "       "   "VH2014 " NH1994                     " "                                                                                                                                  "PN G052.7+50.7" 181     "052.7+50.7 " " "      2.9    ""       ""       "NH1994 " " "       " "         4.305     ""          ""          "NH1994 "   " "      ""      ""       ""       "       " "v "   " "     10.73   ""      ""      "HF2000 " " "       
